date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2014-06-21,New Zealand,England,36,13,2014 England rugby union tour of New Zealand,Waikato Stadium,Hamilton,New Zealand,False,False
2014-06-21,Argentina,Scotland,19,21,2014 Summer International,Estadio Mario Alberto Kempes,Córdoba,Argentina,False,False
2014-06-28,South Africa,Scotland,55,6,2014 Mid-year Test,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,False,False
2014-08-16,Australia,New Zealand,12,12,2014 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2014-08-16,South Africa,Argentina,13,6,2014 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
2014-08-23,Argentina,South Africa,31,33,2014 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2014-08-23,New Zealand,Australia,51,20,2014 Rugby Championship,Eden Park,Auckland,New Zealand,False,False
2014-09-06,Australia,South Africa,24,23,2014 Rugby Championship,Subiaco Oval,Perth,Australia,False,False
2014-09-06,New Zealand,Argentina,28,9,2014 Rugby Championship,McLean Park,Napier,New Zealand,False,False
2014-09-13,New Zealand,South Africa,14,10,2014 Rugby Championship,Westpac Stadium,Wellington,New Zealand,False,False
2014-09-13,Australia,Argentina,32,25,2014 Rugby Championship,Robina Stadium,Gold Coast,Australia,False,False
2014-09-27,Argentina,New Zealand,13,34,2014 Rugby Championship,Estadio Único,La Plata,Argentina,False,False
2014-09-27,South Africa,Australia,28,10,2014 Rugby Championship,Newlands Stadium,Cape Town,South Africa,False,False
2014-10-04,Argentina,Australia,21,17,2014 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,False,False
2014-10-04,South Africa,New Zealand,27,25,2014 Rugby Championship,Ellis Park,Johannesburg,South Africa,False,False
2014-10-18,Australia,New Zealand,28,29,2014 Autumn International,Lang Park,Brisbane,Australia,False,False
2014-11-08,Scotland,Argentina,41,31,2014 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2014-11-08,England,New Zealand,21,24,2014 Autumn International,Twickenham,London,England,False,False
2014-11-08,Wales,Australia,28,33,2014 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2014-11-08,Ireland,South Africa,29,15,2014 end-of-year test,Aviva Stadium,Dublin,Ireland,False,False
2014-11-15,Italy,Argentina,18,20,2014 end of year test,Stadio Luigi Ferraris,Genoa,Italy,False,False
2014-11-15,France,Australia,29,26,2014 Autumn International,Stade de France,Saint-Denis,France,False,False
2014-11-15,England,South Africa,28,31,2014 Autumn International,Twickenham,London,England,False,False
